UserID,Latitude,Longitude,Skill_Level,Preferred_Group_Size,Big Data,Data Analysis,Machine Learning,Python,SQL,Statistics,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1afdeab6-19dc-4103-8149-0dc88ae92a14,-14.149383,120.224832,Beginner,Medium,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0
89146df8-2fa6-4782-9def-4a633b000565,8.694429,-79.993603,Beginner,Medium,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1
410915aa-a314-4f2a-9a11-7a66ade28b95,65.474320,-18.899491,Beginner,Medium,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1
3bee7316-5520-47cc-9758-7bbf8188fc2e,-36.4810865,105.830074,Intermediate,Small,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1
eba488df-0c8f-483c-a40e-0beb5fc89854,-36.1278135,-128.109243,Beginner,Large,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0
bda56465-bde3-4d34-980a-d9695e73883e,49.328389,8.781617,Beginner,Medium,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1
f92aa0d3-df2d-4cea-8566-43b96d9eeab5,-3.634387,-138.610703,Beginner,Medium,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1
fc98354b-9496-491e-95ee-a222421b77b2,-14.072391,22.194176,Intermediate,Medium,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0
cf47a5e6-505e-4de5-b777-5fc31bc7905d,71.292456,95.735675,Intermediate,Medium,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1
445bb140-5698-4945-8cbe-a85e6a5b2271,-33.4802375,162.801257,Intermediate,Small,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0
